_id,host_id,host_url,host_name,host_location,host_response_time,host_thumbnail_url,host_picture_url,host_neighbourhood,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,host_verifications
12655535,36410227,https://www.airbnb.com/users/show/36410227,Sabrina,"New South Wales, Australia",within an hour,https://a0.muscache.com/im/users/36410227/profile_pic/1435009177/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/36410227/profile_pic/1435009177/original.jpg?aki_policy=profile_x_medium,Newtown/Enmore,100.0,False,True,False,294,294,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']"
12657285,3285285,https://www.airbnb.com/users/show/3285285,Luisa,"Lisbon, Lisbon, Portugal",,https://a0.muscache.com/im/pictures/feac8d76-146d-4a2b-b4f2-e1af0b277831.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/feac8d76-146d-4a2b-b4f2-e1af0b277831.jpg?aki_policy=profile_x_medium,Barra da Tijuca,,False,True,True,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']"
1266425,2537484,https://www.airbnb.com/users/show/2537484,Enrique,"Barcelona, Cataluña, Spain",within an hour,https://a0.muscache.com/im/users/2537484/profile_pic/1439305361/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2537484/profile_pic/1439305361/original.jpg?aki_policy=profile_x_medium,Sarrià,100.0,False,True,True,6,6,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']"
12667749,68827851,https://www.airbnb.com/users/show/68827851,Şerife,"Istanbul, İstanbul, Turkey",,https://a0.muscache.com/im/pictures/user/e92a37e1-02d5-4652-bde4-b9c6c5e7eae1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e92a37e1-02d5-4652-bde4-b9c6c5e7eae1.jpg?aki_policy=profile_x_medium,Beşiktaş,,False,True,False,1,1,"['email', 'phone']"
12680743,68819474,https://www.airbnb.com/users/show/68819474,Laurinda Nunes,"Vila Nova de Gaia, Porto District, Portugal",within a few hours,https://a0.muscache.com/im/pictures/user/a0c58f1a-c375-4829-8e24-b53155b98a6f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a0c58f1a-c375-4829-8e24-b53155b98a6f.jpg?aki_policy=profile_x_medium,,100.0,False,True,False,3,3,"['email', 'phone', 'facebook', 'reviews']"
1268297,6903777,https://www.airbnb.com/users/show/6903777,Marcelo,"Rio de Janeiro, Rio de Janeiro, Brazil",within an hour,https://a0.muscache.com/im/users/6903777/profile_pic/1371177803/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6903777/profile_pic/1371177803/original.jpg?aki_policy=profile_x_medium,Catete,100.0,False,True,False,2,2,"['email', 'phone', 'jumio', 'government_id']"
12713962,50604783,https://www.airbnb.com/users/show/50604783,Karlos,"Hawaii, United States",within an hour,https://a0.muscache.com/im/pictures/7d559edb-a898-45c6-ad97-51f68a080fe0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/7d559edb-a898-45c6-ad97-51f68a080fe0.jpg?aki_policy=profile_x_medium,,100.0,False,True,True,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']"
127208,630252,https://www.airbnb.com/users/show/630252,Aurora,"Oporto, Porto District, Portugal",within an hour,https://a0.muscache.com/im/users/630252/profile_pic/1324465819/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/630252/profile_pic/1324465819/original.jpg?aki_policy=profile_x_medium,,100.0,True,True,True,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']"
1273526,4501614,https://www.airbnb.com/users/show/4501614,Patricia,"Rio de Janeiro, Rio de Janeiro, Brazil",within a few hours,https://a0.muscache.com/im/users/4501614/profile_pic/1356594254/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4501614/profile_pic/1356594254/original.jpg?aki_policy=profile_x_medium,Urca,92.0,False,True,False,6,6,"['email', 'phone', 'reviews']"
12740176,69289887,https://www.airbnb.com/users/show/69289887,Marissa,"New South Wales, Australia",,https://a0.muscache.com/im/pictures/e3b334b1-f473-4577-ab58-94f4f7177cfb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/e3b334b1-f473-4577-ab58-94f4f7177cfb.jpg?aki_policy=profile_x_medium,,,False,True,False,1,1,"['email', 'phone', 'facebook', 'reviews']"
12742947,13713604,https://www.airbnb.com/users/show/13713604,Adam,Hong Kong,,https://a0.muscache.com/im/users/13713604/profile_pic/1396224476/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/13713604/profile_pic/1396224476/original.jpg?aki_policy=profile_x_medium,North Point,,False,True,True,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']"
12752708,37907879,https://www.airbnb.com/users/show/37907879,Thompson,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within a few hours,https://a0.muscache.com/im/users/37907879/profile_pic/1436801839/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/37907879/profile_pic/1436801839/original.jpg?aki_policy=profile_x_medium,,100.0,False,True,True,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']"
12757761,13826429,https://www.airbnb.com/users/show/13826429,Maya,"Montreal, Quebec, Canada",within a few hours,https://a0.muscache.com/im/users/13826429/profile_pic/1396985224/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/13826429/profile_pic/1396985224/original.jpg?aki_policy=profile_x_medium,Mont-Royal,86.0,False,True,True,16,16,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']"
12758910,55031699,https://www.airbnb.com/users/show/55031699,Maria Eulalia,"Barcelona, Catalonia, Spain",within an hour,https://a0.muscache.com/im/pictures/2e7e8639-95f1-4476-9bbe-8d386e4b4889.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/2e7e8639-95f1-4476-9bbe-8d386e4b4889.jpg?aki_policy=profile_x_medium,,94.0,False,True,False,2,2,"['email', 'phone', 'reviews', 'offline_government_id', 'government_id']"
12761564,69411160,https://www.airbnb.com/users/show/69411160,Paulo Henrique,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within a few hours,https://a0.muscache.com/im/pictures/1290e054-8b52-4c07-87a6-b4857b2d1c81.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/1290e054-8b52-4c07-87a6-b4857b2d1c81.jpg?aki_policy=profile_x_medium,,100.0,False,True,True,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']"
12762087,69426488,https://www.airbnb.com/users/show/69426488,Ana,"Porto, Porto District, Portugal",within an hour,https://a0.muscache.com/im/pictures/72bbe2b4-0499-4b57-bc5f-e37d416baee0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/72bbe2b4-0499-4b57-bc5f-e37d416baee0.jpg?aki_policy=profile_x_medium,,100.0,True,True,False,2,2,"['email', 'phone', 'reviews', 'jumio', 'government_id']"
12762350,36133410,https://www.airbnb.com/users/show/36133410,Patty And Beckett,"Eureka, California, United States",within an hour,https://a0.muscache.com/im/pictures/542dba0c-eb1b-4ab3-85f3-94d3cc8f87a4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/542dba0c-eb1b-4ab3-85f3-94d3cc8f87a4.jpg?aki_policy=profile_x_medium,Kaanapali,100.0,True,True,True,59,59,"['email', 'phone', 'reviews', 'kba', 'work_email']"
