_id,listing_url,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,images,review_scores
31085894,https://www.airbnb.com/rooms/31085894,"Central suite near Taksim, istiklal",Boutique hotel,Private room,Real Bed,3,1125,flexible,2,1.0,1.0,0,1.0,475.00,,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/2959a100-a5b0-43ec-852b-36edc7535c8b.jpg?aki_policy=large'},{}
31086693,https://www.airbnb.com/rooms/31086693,friends gathering apartment,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,1.0,3.0,2,1.0,981.00,0.00,50.00,4,{'picture_url': 'https://a0.muscache.com/im/pictures/23dbf2c3-c38d-46f8-9e3b-01cd592253fe.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 90}"
31088238,https://www.airbnb.com/rooms/31088238,Super convenient entire apartment near Sydney CBD!,Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1.0,3.0,3,1.0,151.00,80.00,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/b468787f-f6ce-4aa8-b980-619b6e1bfea4.jpg?aki_policy=large'},"{'review_scores_accuracy': 9, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 9, 'review_scores_value': 9, 'review_scores_rating': 87}"
31089327,https://www.airbnb.com/rooms/31089327,Homely unit in a handy location,Apartment,Entire home/apt,Real Bed,1,7,flexible,2,1.0,1.0,0,1.0,151.00,,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/d8fb5ea2-4e39-43c3-b0f8-858dc27b294b.jpg?aki_policy=large'},{}
31095245,https://www.airbnb.com/rooms/31095245,Dorm 3baths SohoEast......,Apartment,Shared room,Real Bed,3,1125,strict_14_with_grace_period,12,1.0,12.0,2,3.0,251.00,250.00,250.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/0e3186fe-d248-446c-8422-5e9733360b2e.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 100}"
31099467,https://www.airbnb.com/rooms/31099467,"FLAT EM  FRENTE  À  PRAIA DA BARRA, RJ  - BRASIL",Serviced apartment,Entire home/apt,Real Bed,2,12,moderate,3,1.0,2.0,1,1.0,459.00,150.00,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/179eac74-9eab-4fec-97e2-92231b416a3e.jpg?aki_policy=large'},"{'review_scores_accuracy': 2, 'review_scores_cleanliness': 2, 'review_scores_checkin': 10, 'review_scores_communication': 2, 'review_scores_location': 10, 'review_scores_value': 2, 'review_scores_rating': 40}"
31101349,https://www.airbnb.com/rooms/31101349,Excelente apartamento con perfecta ubicación..,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,3,1.0,30.00,35.00,25.00,3,{'picture_url': 'https://a0.muscache.com/im/pictures/48ead32c-df73-4c54-9c5b-51901abfd8d1.jpg?aki_policy=large'},"{'review_scores_accuracy': 9, 'review_scores_cleanliness': 9, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 9, 'review_scores_rating': 87}"
31110464,https://www.airbnb.com/rooms/31110464,#S4銅鑼灣百德大廈D座公寓式住宅,Apartment,Private room,Real Bed,28,1125,strict_14_with_grace_period,2,1.0,1.0,0,1.0,447.00,,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/8229267e-9830-4558-8582-dd870efff0a7.jpg?aki_policy=large'},{}
31117363,https://www.airbnb.com/rooms/31117363,Apto ótimo ponto Copacabana! Aconchegante e lindo!,Apartment,Entire home/apt,Real Bed,1,10,moderate,5,1.0,3.0,0,1.0,201.00,100.00,50.00,4,{'picture_url': 'https://a0.muscache.com/im/pictures/0028cfca-ea67-40ce-b1d2-ac136b220ad7.jpg?aki_policy=large'},{}
31119279,https://www.airbnb.com/rooms/31119279,Porto Downtown Apartment V,Apartment,Entire home/apt,Real Bed,3,1125,moderate,4,1.0,1.0,3,1.0,28.00,12.00,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/d3d7fe28-d297-49d3-90a9-e480fc04f685.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 9, 'review_scores_checkin': 8, 'review_scores_communication': 10, 'review_scores_location': 9, 'review_scores_value': 9, 'review_scores_rating': 87}"
31121699,https://www.airbnb.com/rooms/31121699,Apartamento em Copacabana,Apartment,Entire home/apt,Real Bed,2,7,flexible,7,3.0,4.0,0,1.5,1201.00,,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/3f0f334c-845e-4331-810f-993b6b43ec84.jpg?aki_policy=large'},{}
31123905,https://www.airbnb.com/rooms/31123905,"Chateau Tijucano (amplo, iluminado e tranquilo)",Apartment,Entire home/apt,Real Bed,1,35,flexible,5,2.0,4.0,3,2.0,201.00,,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/64d0fa8f-9c59-4252-ae7e-c6bf937f3165.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 100}"
31125186,https://www.airbnb.com/rooms/31125186,Cozy house 10 min from SAW airport w/ King Bed,Apartment,Entire home/apt,Real Bed,1,1125,flexible,3,2.0,2.0,2,1.0,79.00,,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/3f80ab15-8ad1-457a-99a8-0863323a3c9d.jpg?aki_policy=large'},"{'review_scores_accuracy': 9, 'review_scores_cleanliness': 4, 'review_scores_checkin': 8, 'review_scores_communication': 9, 'review_scores_location': 9, 'review_scores_value': 6, 'review_scores_rating': 70}"
31125291,https://www.airbnb.com/rooms/31125291,Old City Cozy Room with Private bathroom in Balat,Boutique hotel,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,0,1.0,237.00,,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/ade0072d-0942-4c35-a9dc-a5f9463dd906.jpg?aki_policy=large'},{}
31134257,https://www.airbnb.com/rooms/31134257,"原始森林渡假屋:4号独立房间,双人床,写字桌,舒适自然环境｡",Villa,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,1,1.0,60.00,10.00,30.00,2,{'picture_url': 'https://a0.muscache.com/im/pictures/2ed059d6-57c3-4161-b616-efbedda80bae.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 100}"
31135824,https://www.airbnb.com/rooms/31135824,Camões Executive Flat (w/ Air conditioning),Apartment,Entire home/apt,Real Bed,3,90,strict_14_with_grace_period,4,1.0,2.0,3,1.0,45.00,30.00,15.00,2,{'picture_url': 'https://a0.muscache.com/im/pictures/714371db-2d34-49d1-b33d-e226bd32df3f.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 9, 'review_scores_communication': 9, 'review_scores_location': 9, 'review_scores_value': 9, 'review_scores_rating': 87}"
3113661,https://www.airbnb.com/rooms/3113661,Room/private bathroom near Maracanã,Apartment,Private room,Real Bed,2,30,moderate,3,1.0,1.0,3,1.0,127.00,,70.00,2,{'picture_url': 'https://a0.muscache.com/im/pictures/8e194cb3-090d-4f03-947e-e5abbf3e42e6.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 100}"
3114202,https://www.airbnb.com/rooms/3114202,"AMAZED VISUAL  EXCELENTE LOCALIZAÇAO, ACONCHEGANTE",Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,4,1.0,3.0,10,1.5,257.00,160.00,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/42815236/a4c78d39_original.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 9, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 96}"
31144314,https://www.airbnb.com/rooms/31144314,Bright 1BR in Griffintown Floor #4 by Sonder,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,4,1.0,2.0,0,1.0,76.00,95.00,7.00,2,{'picture_url': 'https://a0.muscache.com/im/pictures/bdcfabb7-d8bb-41ab-9969-c5094d15fa9d.jpg?aki_policy=large'},{}
31144321,https://www.airbnb.com/rooms/31144321,Desirable 1BR in Griffintown Floor #3 by Sonder,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,4,1.0,2.0,1,1.0,76.00,95.00,7.00,2,{'picture_url': 'https://a0.muscache.com/im/pictures/9f8e0431-cd5d-4001-8831-2fc3791c6828.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 8, 'review_scores_value': 8, 'review_scores_rating': 100}"
31149060,https://www.airbnb.com/rooms/31149060,Chic 1BR in Griffintown Floor #2 by Sonder,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,4,1.0,2.0,0,1.0,81.00,95.00,7.00,2,{'picture_url': 'https://a0.muscache.com/im/pictures/d8f2bfbe-dfe1-4f9a-9662-2aa3b4f27fe0.jpg?aki_policy=large'},{}
31156767,https://www.airbnb.com/rooms/31156767,Family Room - Idylle Hotel,Boutique hotel,Private room,Real Bed,1,1125,flexible,3,1.0,,0,1.0,891.00,,0.00,3,{'picture_url': 'https://a0.muscache.com/im/pictures/5ef4788a-dbdf-4cf4-8d8c-244c3ebf51d4.jpg?aki_policy=large'},{}
31164170,https://www.airbnb.com/rooms/31164170,Entire 1 bedroom apt. in Town Mount-Royal,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3,1.0,1.0,3,1.0,50.00,15.00,10.00,2,{'picture_url': 'https://a0.muscache.com/im/pictures/32e23481-9860-48f7-ab06-beae89a7f767.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 100}"
31167868,https://www.airbnb.com/rooms/31167868,"Taksim, Beyoğlu, Turkey Deluxe Room Sq. 3 Min.Walk",Boutique hotel,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,1,1.0,111.00,,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/4819855b-23ce-492b-a435-eb37552e2808.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 8, 'review_scores_value': 10, 'review_scores_rating': 100}"
31173511,https://www.airbnb.com/rooms/31173511,"Enchanting Oasis, nestled in Downtown Montreal",Loft,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,1.0,1.0,31,1.0,350.00,60.00,25.00,4,{'picture_url': 'https://a0.muscache.com/im/pictures/c140d486-41e2-4ea1-a0c3-010f7be0eb01.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 97}"
31176187,https://www.airbnb.com/rooms/31176187,Quiet 2 bedrooms condo near LaSalle metro station.,Condominium,Entire home/apt,Real Bed,14,31,moderate,4,2.0,2.0,1,1.0,55.00,30.00,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/8f9cdb2d-f755-4755-ab46-f90edd77102f.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 6, 'review_scores_checkin': 8, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 80}"
